region	chr	midPos	Nsites
(173,173)(3557978,3557978)(3530000,3580000)	NC_043957.1	3555000	2	0.019755
(173,173)(3557978,3557978)(3540000,3590000)	NC_043957.1	3565000	2	0.019755
(173,173)(3557978,3557978)(3550000,3600000)	NC_043957.1	3575000	2	0.019755
(174,178)(3672678,3672918)(3630000,3680000)	NC_043957.1	3655000	6	0.013060
(174,178)(3672678,3672918)(3640000,3690000)	NC_043957.1	3665000	6	0.013060
(174,178)(3672678,3672918)(3650000,3700000)	NC_043957.1	3675000	6	0.013060
(174,178)(3672678,3672918)(3660000,3710000)	NC_043957.1	3685000	6	0.013060
(174,178)(3672678,3672918)(3670000,3720000)	NC_043957.1	3695000	6	0.013060
(179,180)(3737032,3737035)(3690000,3740000)	NC_043957.1	3715000	3	0.029795
(179,180)(3737032,3737035)(3700000,3750000)	NC_043957.1	3725000	3	0.029795
(179,180)(3737032,3737035)(3710000,3760000)	NC_043957.1	3735000	3	0.029795
(179,180)(3737032,3737035)(3720000,3770000)	NC_043957.1	3745000	3	0.029795
(179,181)(3737032,3772883)(3730000,3780000)	NC_043957.1	3755000	4	0.027934
(181,181)(3772883,3772883)(3740000,3790000)	NC_043957.1	3765000	2	0.010554
(181,181)(3772883,3772883)(3750000,3800000)	NC_043957.1	3775000	2	0.010554
(181,181)(3772883,3772883)(3760000,3810000)	NC_043957.1	3785000	2	0.010554
(181,181)(3772883,3772883)(3770000,3820000)	NC_043957.1	3795000	2	0.010554
(182,183)(3929958,3929978)(3880000,3930000)	NC_043957.1	3905000	3	0.017922
(182,183)(3929958,3929978)(3890000,3940000)	NC_043957.1	3915000	3	0.017922
(182,183)(3929958,3929978)(3900000,3950000)	NC_043957.1	3925000	3	0.017922
(182,183)(3929958,3929978)(3910000,3960000)	NC_043957.1	3935000	3	0.017922
(182,183)(3929958,3929978)(3920000,3970000)	NC_043957.1	3945000	3	0.017922
(184,198)(4034048,4034820)(3990000,4040000)	NC_043957.1	4015000	16	0.031095
(184,198)(4034048,4034820)(4000000,4050000)	NC_043957.1	4025000	16	0.031095
(184,198)(4034048,4034820)(4010000,4060000)	NC_043957.1	4035000	16	0.031095
(184,198)(4034048,4034820)(4020000,4070000)	NC_043957.1	4045000	16	0.031095
(184,198)(4034048,4034820)(4030000,4080000)	NC_043957.1	4055000	16	0.031095
(199,206)(4118133,4118279)(4070000,4120000)	NC_043957.1	4095000	9	0.061130
(199,206)(4118133,4118279)(4080000,4130000)	NC_043957.1	4105000	9	0.061130
(199,206)(4118133,4118279)(4090000,4140000)	NC_043957.1	4115000	9	0.061130
(199,206)(4118133,4118279)(4100000,4150000)	NC_043957.1	4125000	9	0.061130
(199,206)(4118133,4118279)(4110000,4160000)	NC_043957.1	4135000	9	0.061130
(207,207)(4210631,4210631)(4170000,4220000)	NC_043957.1	4195000	2	0.015838
(207,207)(4210631,4210631)(4180000,4230000)	NC_043957.1	4205000	2	0.015838
(207,207)(4210631,4210631)(4190000,4240000)	NC_043957.1	4215000	2	0.015838
(207,207)(4210631,4210631)(4200000,4250000)	NC_043957.1	4225000	2	0.015838
(207,208)(4210631,4251625)(4210000,4260000)	NC_043957.1	4235000	3	0.063306
(208,208)(4251625,4251625)(4220000,4270000)	NC_043957.1	4245000	2	0.068074
(208,208)(4251625,4251625)(4230000,4280000)	NC_043957.1	4255000	2	0.068074
(208,208)(4251625,4251625)(4240000,4290000)	NC_043957.1	4265000	2	0.068074
(208,210)(4251625,4292203)(4250000,4300000)	NC_043957.1	4275000	4	0.058825
(209,210)(4292178,4292203)(4260000,4310000)	NC_043957.1	4285000	3	0.014756
(209,210)(4292178,4292203)(4270000,4320000)	NC_043957.1	4295000	3	0.014756
(209,210)(4292178,4292203)(4280000,4330000)	NC_043957.1	4305000	3	0.014756
(209,210)(4292178,4292203)(4290000,4340000)	NC_043957.1	4315000	3	0.014756
(211,212)(4420547,4420553)(4380000,4430000)	NC_043957.1	4405000	3	0.017732
(211,212)(4420547,4420553)(4390000,4440000)	NC_043957.1	4415000	3	0.017732
(211,212)(4420547,4420553)(4400000,4450000)	NC_043957.1	4425000	3	0.017732
(211,212)(4420547,4420553)(4410000,4460000)	NC_043957.1	4435000	3	0.017732
(211,212)(4420547,4420553)(4420000,4470000)	NC_043957.1	4445000	3	0.017732
(213,213)(5037637,5037637)(4990000,5040000)	NC_043957.1	5015000	2	0.015888
(213,213)(5037637,5037637)(5000000,5050000)	NC_043957.1	5025000	2	0.015888
(213,213)(5037637,5037637)(5010000,5060000)	NC_043957.1	5035000	2	0.015888
(213,213)(5037637,5037637)(5020000,5070000)	NC_043957.1	5045000	2	0.015888
(213,213)(5037637,5037637)(5030000,5080000)	NC_043957.1	5055000	2	0.015888
(214,215)(5097337,5097368)(5050000,5100000)	NC_043957.1	5075000	3	0.015036
(214,215)(5097337,5097368)(5060000,5110000)	NC_043957.1	5085000	3	0.015036
(214,215)(5097337,5097368)(5070000,5120000)	NC_043957.1	5095000	3	0.015036
(214,215)(5097337,5097368)(5080000,5130000)	NC_043957.1	5105000	3	0.015036
(214,215)(5097337,5097368)(5090000,5140000)	NC_043957.1	5115000	3	0.015036
(216,219)(5148298,5148328)(5100000,5150000)	NC_043957.1	5125000	5	0.091083
(216,219)(5148298,5148328)(5110000,5160000)	NC_043957.1	5135000	5	0.091083
(216,219)(5148298,5148328)(5120000,5170000)	NC_043957.1	5145000	5	0.091083
(216,219)(5148298,5148328)(5130000,5180000)	NC_043957.1	5155000	5	0.091083
(216,219)(5148298,5148328)(5140000,5190000)	NC_043957.1	5165000	5	0.091083
(220,220)(6017753,6017753)(5970000,6020000)	NC_043957.1	5995000	2	0.020427
(220,220)(6017753,6017753)(5980000,6030000)	NC_043957.1	6005000	2	0.020427
(220,222)(6017753,6038204)(5990000,6040000)	NC_043957.1	6015000	4	0.031888
(220,222)(6017753,6038204)(6000000,6050000)	NC_043957.1	6025000	4	0.031888
(220,222)(6017753,6038204)(6010000,6060000)	NC_043957.1	6035000	4	0.031888
(221,224)(6035212,6062204)(6020000,6070000)	NC_043957.1	6045000	5	0.029599
(221,224)(6035212,6062204)(6030000,6080000)	NC_043957.1	6055000	5	0.029599
(223,224)(6062163,6062204)(6040000,6090000)	NC_043957.1	6065000	3	0.014303
(223,224)(6062163,6062204)(6050000,6100000)	NC_043957.1	6075000	3	0.014303
(223,224)(6062163,6062204)(6060000,6110000)	NC_043957.1	6085000	3	0.014303
(225,229)(6136947,6137368)(6090000,6140000)	NC_043957.1	6115000	6	0.043306
(225,229)(6136947,6137368)(6100000,6150000)	NC_043957.1	6125000	6	0.043306
(225,229)(6136947,6137368)(6110000,6160000)	NC_043957.1	6135000	6	0.043306
(225,229)(6136947,6137368)(6120000,6170000)	NC_043957.1	6145000	6	0.043306
(225,229)(6136947,6137368)(6130000,6180000)	NC_043957.1	6155000	6	0.043306
(230,230)(6263856,6263856)(6220000,6270000)	NC_043957.1	6245000	2	0.014018
(230,236)(6263856,6272552)(6230000,6280000)	NC_043957.1	6255000	8	0.028267
(230,236)(6263856,6272552)(6240000,6290000)	NC_043957.1	6265000	8	0.028267
(230,236)(6263856,6272552)(6250000,6300000)	NC_043957.1	6275000	8	0.028267
(230,236)(6263856,6272552)(6260000,6310000)	NC_043957.1	6285000	8	0.028267
(231,238)(6271997,6314246)(6270000,6320000)	NC_043957.1	6295000	9	0.028311
(237,238)(6314245,6314246)(6280000,6330000)	NC_043957.1	6305000	3	0.012023
(237,239)(6314245,6336086)(6290000,6340000)	NC_043957.1	6315000	4	0.015139
(237,239)(6314245,6336086)(6300000,6350000)	NC_043957.1	6325000	4	0.015139
(237,239)(6314245,6336086)(6310000,6360000)	NC_043957.1	6335000	4	0.015139
(239,239)(6336086,6336086)(6320000,6370000)	NC_043957.1	6345000	2	0.017937
(239,239)(6336086,6336086)(6330000,6380000)	NC_043957.1	6355000	2	0.017937
(240,241)(6385253,6385298)(6340000,6390000)	NC_043957.1	6365000	3	0.020276
(240,241)(6385253,6385298)(6350000,6400000)	NC_043957.1	6375000	3	0.020276
(240,241)(6385253,6385298)(6360000,6410000)	NC_043957.1	6385000	3	0.020276
(240,241)(6385253,6385298)(6370000,6420000)	NC_043957.1	6395000	3	0.020276
(240,241)(6385253,6385298)(6380000,6430000)	NC_043957.1	6405000	3	0.020276
(242,242)(6658242,6658242)(6610000,6660000)	NC_043957.1	6635000	2	0.013426
(242,243)(6658242,6661426)(6620000,6670000)	NC_043957.1	6645000	3	0.013537
(242,243)(6658242,6661426)(6630000,6680000)	NC_043957.1	6655000	3	0.013537
(242,245)(6658242,6687381)(6640000,6690000)	NC_043957.1	6665000	5	0.013401
(242,246)(6658242,6696538)(6650000,6700000)	NC_043957.1	6675000	6	0.048819
(243,247)(6661426,6701046)(6660000,6710000)	NC_043957.1	6685000	6	0.048889
(244,247)(6687371,6701046)(6670000,6720000)	NC_043957.1	6695000	5	0.067494
(244,247)(6687371,6701046)(6680000,6730000)	NC_043957.1	6705000	5	0.067494
(246,247)(6696538,6701046)(6690000,6740000)	NC_043957.1	6715000	3	0.083898
(247,247)(6701046,6701046)(6700000,6750000)	NC_043957.1	6725000	2	0.016293
(248,248)(6798923,6798923)(6750000,6800000)	NC_043957.1	6775000	2	0.014626
(248,248)(6798923,6798923)(6760000,6810000)	NC_043957.1	6785000	2	0.014626
(248,248)(6798923,6798923)(6770000,6820000)	NC_043957.1	6795000	2	0.014626
(248,248)(6798923,6798923)(6780000,6830000)	NC_043957.1	6805000	2	0.014626
(248,248)(6798923,6798923)(6790000,6840000)	NC_043957.1	6815000	2	0.014626
(249,250)(6952442,6952474)(6910000,6960000)	NC_043957.1	6935000	3	0.017578
(249,250)(6952442,6952474)(6920000,6970000)	NC_043957.1	6945000	3	0.017578
(249,250)(6952442,6952474)(6930000,6980000)	NC_043957.1	6955000	3	0.017578
(249,256)(6952442,6985972)(6940000,6990000)	NC_043957.1	6965000	9	0.025840
(249,256)(6952442,6985972)(6950000,7000000)	NC_043957.1	6975000	9	0.025840
(251,256)(6982287,6985972)(6960000,7010000)	NC_043957.1	6985000	7	0.027967
(251,256)(6982287,6985972)(6970000,7020000)	NC_043957.1	6995000	7	0.027967
(251,256)(6982287,6985972)(6980000,7030000)	NC_043957.1	7005000	7	0.027967
(257,257)(7059197,7059197)(7010000,7060000)	NC_043957.1	7035000	2	0.013142
(257,257)(7059197,7059197)(7020000,7070000)	NC_043957.1	7045000	2	0.013142
(257,257)(7059197,7059197)(7030000,7080000)	NC_043957.1	7055000	2	0.013142
(257,257)(7059197,7059197)(7040000,7090000)	NC_043957.1	7065000	2	0.013142
(257,257)(7059197,7059197)(7050000,7100000)	NC_043957.1	7075000	2	0.013142
(258,261)(7115446,7115490)(7070000,7120000)	NC_043957.1	7095000	5	0.024534
(258,262)(7115446,7127598)(7080000,7130000)	NC_043957.1	7105000	6	0.017165
(258,262)(7115446,7127598)(7090000,7140000)	NC_043957.1	7115000	6	0.017165
(258,262)(7115446,7127598)(7100000,7150000)	NC_043957.1	7125000	6	0.017165
(258,262)(7115446,7127598)(7110000,7160000)	NC_043957.1	7135000	6	0.017165
(262,262)(7127598,7127598)(7120000,7170000)	NC_043957.1	7145000	2	0.011629
(263,263)(7452170,7452170)(7410000,7460000)	NC_043957.1	7435000	2	0.022815
(263,263)(7452170,7452170)(7420000,7470000)	NC_043957.1	7445000	2	0.022815
(263,263)(7452170,7452170)(7430000,7480000)	NC_043957.1	7455000	2	0.022815
(263,263)(7452170,7452170)(7440000,7490000)	NC_043957.1	7465000	2	0.022815
(263,263)(7452170,7452170)(7450000,7500000)	NC_043957.1	7475000	2	0.022815
(264,265)(7675722,7675796)(7630000,7680000)	NC_043957.1	7655000	3	0.015986
(264,266)(7675722,7689448)(7640000,7690000)	NC_043957.1	7665000	4	0.018355
(264,266)(7675722,7689448)(7650000,7700000)	NC_043957.1	7675000	4	0.018355
(264,266)(7675722,7689448)(7660000,7710000)	NC_043957.1	7685000	4	0.018355
(264,266)(7675722,7689448)(7670000,7720000)	NC_043957.1	7695000	4	0.018355
(266,266)(7689448,7689448)(7680000,7730000)	NC_043957.1	7705000	2	0.020470
(267,273)(7941480,7941778)(7900000,7950000)	NC_043957.1	7925000	8	0.027172
(267,273)(7941480,7941778)(7910000,7960000)	NC_043957.1	7935000	8	0.027172
(267,273)(7941480,7941778)(7920000,7970000)	NC_043957.1	7945000	8	0.027172
(267,273)(7941480,7941778)(7930000,7980000)	NC_043957.1	7955000	8	0.027172
(267,273)(7941480,7941778)(7940000,7990000)	NC_043957.1	7965000	8	0.027172
(274,275)(8021948,8022033)(7980000,8030000)	NC_043957.1	8005000	3	0.015704
(274,284)(8021948,8035033)(7990000,8040000)	NC_043957.1	8015000	12	0.021828
(274,290)(8021948,8045560)(8000000,8050000)	NC_043957.1	8025000	18	0.019820
(274,290)(8021948,8045560)(8010000,8060000)	NC_043957.1	8035000	18	0.019820
(274,290)(8021948,8045560)(8020000,8070000)	NC_043957.1	8045000	18	0.019820
(276,290)(8034649,8045560)(8030000,8080000)	NC_043957.1	8055000	16	0.020810
(285,290)(8045510,8045560)(8040000,8090000)	NC_043957.1	8065000	7	0.018203
(291,292)(8194573,8194574)(8150000,8200000)	NC_043957.1	8175000	3	0.118345
(291,293)(8194573,8204767)(8160000,8210000)	NC_043957.1	8185000	4	0.112533
(291,299)(8194573,8219067)(8170000,8220000)	NC_043957.1	8195000	10	0.099993
(291,301)(8194573,8224680)(8180000,8230000)	NC_043957.1	8205000	12	0.099098
(291,307)(8194573,8232495)(8190000,8240000)	NC_043957.1	8215000	18	0.091669
(293,310)(8204767,8247188)(8200000,8250000)	NC_043957.1	8225000	19	0.069609
(294,310)(8216434,8247188)(8210000,8260000)	NC_043957.1	8235000	18	0.071804
(300,310)(8224607,8247188)(8220000,8270000)	NC_043957.1	8245000	12	0.018694
(302,310)(8230343,8247188)(8230000,8280000)	NC_043957.1	8255000	10	0.017914
(308,310)(8247094,8247188)(8240000,8290000)	NC_043957.1	8265000	4	0.017622
(311,314)(8322979,8323137)(8280000,8330000)	NC_043957.1	8305000	5	0.057149
(311,314)(8322979,8323137)(8290000,8340000)	NC_043957.1	8315000	5	0.057149
(311,314)(8322979,8323137)(8300000,8350000)	NC_043957.1	8325000	5	0.057149
(311,314)(8322979,8323137)(8310000,8360000)	NC_043957.1	8335000	5	0.057149
(311,316)(8322979,8365706)(8320000,8370000)	NC_043957.1	8345000	7	0.052359
(315,316)(8365700,8365706)(8330000,8380000)	NC_043957.1	8355000	3	0.020471
(315,316)(8365700,8365706)(8340000,8390000)	NC_043957.1	8365000	3	0.020471
(315,316)(8365700,8365706)(8350000,8400000)	NC_043957.1	8375000	3	0.020471
(315,316)(8365700,8365706)(8360000,8410000)	NC_043957.1	8385000	3	0.020471
(317,318)(8924119,8924122)(8880000,8930000)	NC_043957.1	8905000	3	0.046036
(317,318)(8924119,8924122)(8890000,8940000)	NC_043957.1	8915000	3	0.046036
(317,318)(8924119,8924122)(8900000,8950000)	NC_043957.1	8925000	3	0.046036
(317,318)(8924119,8924122)(8910000,8960000)	NC_043957.1	8935000	3	0.046036
(317,318)(8924119,8924122)(8920000,8970000)	NC_043957.1	8945000	3	0.046036
(319,322)(9263691,9263705)(9220000,9270000)	NC_043957.1	9245000	5	0.055347
(319,322)(9263691,9263705)(9230000,9280000)	NC_043957.1	9255000	5	0.055347
(319,322)(9263691,9263705)(9240000,9290000)	NC_043957.1	9265000	5	0.055347
(319,322)(9263691,9263705)(9250000,9300000)	NC_043957.1	9275000	5	0.055347
(319,322)(9263691,9263705)(9260000,9310000)	NC_043957.1	9285000	5	0.055347
(323,323)(9502281,9502281)(9460000,9510000)	NC_043957.1	9485000	2	0.053999
(323,323)(9502281,9502281)(9470000,9520000)	NC_043957.1	9495000	2	0.053999
(323,323)(9502281,9502281)(9480000,9530000)	NC_043957.1	9505000	2	0.053999
(323,323)(9502281,9502281)(9490000,9540000)	NC_043957.1	9515000	2	0.053999
(323,326)(9502281,9540217)(9500000,9550000)	NC_043957.1	9525000	5	0.036801
(324,326)(9540195,9540217)(9510000,9560000)	NC_043957.1	9535000	4	0.030118
(324,326)(9540195,9540217)(9520000,9570000)	NC_043957.1	9545000	4	0.030118
(324,326)(9540195,9540217)(9530000,9580000)	NC_043957.1	9555000	4	0.030118
(324,326)(9540195,9540217)(9540000,9590000)	NC_043957.1	9565000	4	0.030118
(327,327)(10398346,10398346)(10350000,10400000)	NC_043957.1	10375000	2	0.025400
(327,327)(10398346,10398346)(10360000,10410000)	NC_043957.1	10385000	2	0.025400
(327,327)(10398346,10398346)(10370000,10420000)	NC_043957.1	10395000	2	0.025400
(327,327)(10398346,10398346)(10380000,10430000)	NC_043957.1	10405000	2	0.025400
(327,327)(10398346,10398346)(10390000,10440000)	NC_043957.1	10415000	2	0.025400
(328,330)(10586153,10586202)(10540000,10590000)	NC_043957.1	10565000	4	0.021235
(328,330)(10586153,10586202)(10550000,10600000)	NC_043957.1	10575000	4	0.021235
(328,330)(10586153,10586202)(10560000,10610000)	NC_043957.1	10585000	4	0.021235
(328,330)(10586153,10586202)(10570000,10620000)	NC_043957.1	10595000	4	0.021235
(328,330)(10586153,10586202)(10580000,10630000)	NC_043957.1	10605000	4	0.021235
(331,331)(10858756,10858756)(10810000,10860000)	NC_043957.1	10835000	2	0.018656
(331,331)(10858756,10858756)(10820000,10870000)	NC_043957.1	10845000	2	0.018656
(331,331)(10858756,10858756)(10830000,10880000)	NC_043957.1	10855000	2	0.018656
(331,331)(10858756,10858756)(10840000,10890000)	NC_043957.1	10865000	2	0.018656
(331,331)(10858756,10858756)(10850000,10900000)	NC_043957.1	10875000	2	0.018656
(332,333)(11251740,11251749)(11210000,11260000)	NC_043957.1	11235000	3	0.064585
(332,333)(11251740,11251749)(11220000,11270000)	NC_043957.1	11245000	3	0.064585
(332,333)(11251740,11251749)(11230000,11280000)	NC_043957.1	11255000	3	0.064585
(332,333)(11251740,11251749)(11240000,11290000)	NC_043957.1	11265000	3	0.064585
(332,333)(11251740,11251749)(11250000,11300000)	NC_043957.1	11275000	3	0.064585
(334,335)(11380039,11380050)(11340000,11390000)	NC_043957.1	11365000	3	0.014416
(334,335)(11380039,11380050)(11350000,11400000)	NC_043957.1	11375000	3	0.014416
(334,335)(11380039,11380050)(11360000,11410000)	NC_043957.1	11385000	3	0.014416
(334,335)(11380039,11380050)(11370000,11420000)	NC_043957.1	11395000	3	0.014416
(334,335)(11380039,11380050)(11380000,11430000)	NC_043957.1	11405000	3	0.014416
(336,336)(11511065,11511065)(11470000,11520000)	NC_043957.1	11495000	2	0.014405
(336,336)(11511065,11511065)(11480000,11530000)	NC_043957.1	11505000	2	0.014405
(336,336)(11511065,11511065)(11490000,11540000)	NC_043957.1	11515000	2	0.014405
(336,336)(11511065,11511065)(11500000,11550000)	NC_043957.1	11525000	2	0.014405
(336,336)(11511065,11511065)(11510000,11560000)	NC_043957.1	11535000	2	0.014405
(337,339)(11602375,11602395)(11560000,11610000)	NC_043957.1	11585000	4	0.047412
(337,339)(11602375,11602395)(11570000,11620000)	NC_043957.1	11595000	4	0.047412
