Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sor-ACeb_011-Ex1-6F-lcwgs-1-2.clmp.fp2_r1_screen	251.0	91.0	25.0	1078.0	11.0	1.0	5.0	2.0	0.0	0.0	1087.0	16613.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-2.clmp.fp2_r2_screen	263.0	88.0	18.0	1087.0	7.0	1.0	0.0	3.0	0.0	0.0	1082.0	16615.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-2.clmp.fp2_r1_screen	1311.0	116.0	76.0	641.0	55.0	8.0	8.0	7.0	0.0	0.0	5547.0	94177.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-2.clmp.fp2_r2_screen	1326.0	104.0	79.0	650.0	62.0	19.0	13.0	6.0	0.0	0.0	5642.0	94045.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-2.clmp.fp2_r1_screen	549.0	83.0	17.0	2520.0	12.0	3.0	2.0	3.0	0.0	0.0	2396.0	32665.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-2.clmp.fp2_r2_screen	577.0	69.0	23.0	2533.0	13.0	2.0	0.0	3.0	0.0	0.0	2399.0	32631.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-2.clmp.fp2_r1_screen	408.0	22.0	26.0	663.0	18.0	2.0	4.0	0.0	0.0	0.0	1688.0	28107.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-2.clmp.fp2_r2_screen	425.0	31.0	21.0	672.0	18.0	2.0	2.0	0.0	0.0	0.0	1704.0	28063.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-2.clmp.fp2_r1_screen	533.0	40.0	37.0	419.0	22.0	5.0	1.0	2.0	0.0	0.0	2287.0	39159.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-2.clmp.fp2_r2_screen	512.0	48.0	21.0	429.0	20.0	4.0	7.0	3.0	0.0	0.0	2306.0	39155.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-2.clmp.fp2_r1_screen	3657.0	243.0	219.0	1234.0	162.0	29.0	12.0	10.0	0.0	0.0	19685.0	258465.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-2.clmp.fp2_r2_screen	3795.0	274.0	210.0	1204.0	162.0	24.0	18.0	14.0	0.0	0.0	19635.0	258380.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-2.clmp.fp2_r1_screen	2770.0	363.0	142.0	1993.0	122.0	15.0	12.0	8.0	0.0	0.0	12473.0	207792.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-2.clmp.fp2_r2_screen	2846.0	365.0	157.0	1988.0	131.0	19.0	24.0	11.0	0.0	0.0	12515.0	207634.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-2.clmp.fp2_r1_screen	572.0	59.0	40.0	295.0	18.0	7.0	5.0	3.0	1.0	0.0	2424.0	40137.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-2.clmp.fp2_r2_screen	582.0	55.0	36.0	308.0	19.0	9.0	4.0	1.0	0.0	0.0	2423.0	40124.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-2.clmp.fp2_r1_screen	151.0	6.0	14.0	31.0	8.0	2.0	1.0	1.0	0.0	0.0	480.0	9544.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-2.clmp.fp2_r2_screen	138.0	17.0	18.0	35.0	7.0	1.0	1.0	2.0	0.0	0.0	510.0	9509.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-2.clmp.fp2_r1_screen	111.0	10.0	8.0	41.0	11.0	3.0	1.0	0.0	0.0	0.0	463.0	7609.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-2.clmp.fp2_r2_screen	105.0	15.0	3.0	45.0	7.0	5.0	6.0	1.0	0.0	0.0	487.0	7583.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-2.clmp.fp2_r1_screen	16.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	54.0	1034.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-2.clmp.fp2_r2_screen	23.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	1030.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-2.clmp.fp2_r1_screen	418.0	107.0	37.0	2046.0	26.0	6.0	1.0	1.0	0.0	0.0	1909.0	20300.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	403.0	95.0	34.0	2036.0	18.0	5.0	6.0	2.0	0.0	0.0	1937.0	20315.0
Sor-CPnd_001-Ex1-3E-lcwgs-1-2.clmp.fp2_r1_screen	22100.0	2369.0	2013.0	531.0	1261.0	357.0	338.0	88.0	6.0	0.0	82507.0	1143432.0
Sor-CPnd_001-Ex1-3E-lcwgs-1-2.clmp.fp2_r2_screen	22089.0	2370.0	1929.0	458.0	1218.0	347.0	360.0	91.0	7.0	0.0	82576.0	1143557.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-2.clmp.fp2_r1_screen	13201.0	1354.0	1171.0	465.0	742.0	211.0	188.0	40.0	4.0	0.0	50884.0	661785.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	13632.0	1282.0	1133.0	422.0	690.0	176.0	165.0	36.0	2.0	0.0	50941.0	661566.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-2.clmp.fp2_r1_screen	9091.0	993.0	783.0	301.0	542.0	131.0	125.0	35.0	2.0	0.0	34196.0	545330.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-2.clmp.fp2_r2_screen	9404.0	953.0	749.0	278.0	502.0	136.0	123.0	27.0	1.0	0.0	34144.0	545212.0
Sor-CPnd_004-Ex1-1G-lcwgs-1-2.clmp.fp2_r1_screen	31132.0	3304.0	2749.0	874.0	1798.0	507.0	440.0	82.0	8.0	0.0	114581.0	1554914.0
Sor-CPnd_004-Ex1-1G-lcwgs-1-2.clmp.fp2_r2_screen	31456.0	3398.0	2693.0	868.0	1788.0	467.0	445.0	90.0	5.0	0.0	115291.0	1553888.0
Sor-CPnd_005-Ex1-3D-lcwgs-1-2.clmp.fp2_r1_screen	19344.0	2227.0	1784.0	464.0	1188.0	350.0	315.0	70.0	6.0	0.0	73987.0	1080557.0
Sor-CPnd_005-Ex1-3D-lcwgs-1-2.clmp.fp2_r2_screen	19335.0	2048.0	1737.0	504.0	1146.0	330.0	265.0	77.0	3.0	0.0	74172.0	1080675.0
Sor-CPnd_006-Ex1-2D-lcwgs-1-2.clmp.fp2_r1_screen	18566.0	2031.0	1672.0	585.0	1076.0	320.0	280.0	54.0	2.0	0.0	71624.0	1041020.0
Sor-CPnd_006-Ex1-2D-lcwgs-1-2.clmp.fp2_r2_screen	19138.0	2022.0	1660.0	577.0	1063.0	283.0	254.0	48.0	1.0	0.0	71505.0	1040679.0
Sor-CPnd_007-Ex1-1C-lcwgs-1-2.clmp.fp2_r1_screen	8608.0	871.0	774.0	377.0	513.0	130.0	125.0	36.0	3.0	0.0	31592.0	572539.0
Sor-CPnd_007-Ex1-1C-lcwgs-1-2.clmp.fp2_r2_screen	8754.0	958.0	759.0	392.0	486.0	119.0	113.0	31.0	3.0	0.0	32029.0	571924.0
Sor-CPnd_008-Ex1-1A-lcwgs-1-2.clmp.fp2_r1_screen	25615.0	3222.0	2288.0	2363.0	1689.0	468.0	461.0	124.0	8.0	0.0	91186.0	2202080.0
Sor-CPnd_008-Ex1-1A-lcwgs-1-2.clmp.fp2_r2_screen	25897.0	3131.0	2395.0	2330.0	1632.0	445.0	443.0	98.0	4.0	0.0	95010.0	2198119.0
Sor-CPnd_009-Ex1-6A-lcwgs-1-2.clmp.fp2_r1_screen	30009.0	3319.0	2589.0	1024.0	1859.0	468.0	419.0	105.0	8.0	0.0	102888.0	2275741.0
Sor-CPnd_009-Ex1-6A-lcwgs-1-2.clmp.fp2_r2_screen	30673.0	3250.0	2570.0	1096.0	1767.0	415.0	398.0	83.0	5.0	0.0	105091.0	2273081.0
Sor-CPnd_010-Ex1-1H-lcwgs-1-2.clmp.fp2_r1_screen	5821.0	655.0	476.0	179.0	322.0	96.0	90.0	20.0	3.0	0.0	19882.0	367058.0
Sor-CPnd_010-Ex1-1H-lcwgs-1-2.clmp.fp2_r2_screen	5862.0	621.0	482.0	170.0	336.0	74.0	95.0	20.0	1.0	0.0	20317.0	366624.0
Sor-CPnd_012-Ex1-5B-lcwgs-1-2.clmp.fp2_r1_screen	5932.0	609.0	515.0	223.0	318.0	86.0	89.0	17.0	3.0	0.0	21862.0	345236.0
Sor-CPnd_012-Ex1-5B-lcwgs-1-2.clmp.fp2_r2_screen	6018.0	631.0	476.0	218.0	317.0	97.0	76.0	17.0	0.0	0.0	21804.0	345236.0
Sor-CPnd_013-Ex1-7F-lcwgs-1-2.clmp.fp2_r1_screen	10000.0	1130.0	877.0	381.0	548.0	163.0	146.0	33.0	0.0	0.0	34424.0	647660.0
Sor-CPnd_013-Ex1-7F-lcwgs-1-2.clmp.fp2_r2_screen	10016.0	1023.0	894.0	399.0	557.0	139.0	145.0	23.0	4.0	0.0	35059.0	647103.0
Sor-CPnd_014-Ex1-1F-lcwgs-1-2.clmp.fp2_r1_screen	57422.0	6390.0	5070.0	1807.0	3349.0	877.0	849.0	185.0	10.0	0.0	203181.0	3360231.0
Sor-CPnd_014-Ex1-1F-lcwgs-1-2.clmp.fp2_r2_screen	58298.0	6262.0	5016.0	1759.0	3238.0	889.0	804.0	188.0	13.0	0.0	206313.0	3356591.0
Sor-CPnd_015-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	6891.0	713.0	580.0	243.0	398.0	85.0	83.0	19.0	2.0	0.0	26183.0	397194.0
Sor-CPnd_015-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	7102.0	744.0	568.0	239.0	371.0	80.0	91.0	14.0	1.0	0.0	25987.0	397194.0
Sor-CPnd_016-Ex1-1B-lcwgs-1-2.clmp.fp2_r1_screen	12811.0	1431.0	1064.0	542.0	808.0	191.0	189.0	35.0	3.0	0.0	46462.0	1028146.0
Sor-CPnd_016-Ex1-1B-lcwgs-1-2.clmp.fp2_r2_screen	13138.0	1409.0	1068.0	525.0	758.0	206.0	220.0	38.0	1.0	0.0	47265.0	1027054.0
Sor-CPnd_017-Ex1-3G-lcwgs-1-2.clmp.fp2_r1_screen	8674.0	939.0	733.0	208.0	490.0	155.0	127.0	30.0	3.0	0.0	30880.0	472232.0
Sor-CPnd_017-Ex1-3G-lcwgs-1-2.clmp.fp2_r2_screen	8575.0	917.0	752.0	206.0	491.0	138.0	127.0	30.0	1.0	0.0	31207.0	472027.0
Sor-CPnd_018-Ex1-1E-lcwgs-1-2.clmp.fp2_r1_screen	27644.0	2997.0	2434.0	913.0	1562.0	401.0	408.0	72.0	6.0	0.0	96930.0	1681140.0
Sor-CPnd_018-Ex1-1E-lcwgs-1-2.clmp.fp2_r2_screen	27952.0	2982.0	2285.0	919.0	1492.0	404.0	406.0	86.0	5.0	0.0	98287.0	1679689.0
Sor-CPnd_019-Ex1-6G-lcwgs-1-2.clmp.fp2_r1_screen	18542.0	1891.0	1565.0	606.0	1041.0	291.0	306.0	49.0	5.0	0.0	69352.0	996539.0
Sor-CPnd_019-Ex1-6G-lcwgs-1-2.clmp.fp2_r2_screen	18864.0	1872.0	1598.0	584.0	1068.0	285.0	254.0	60.0	1.0	0.0	69498.0	996103.0
Sor-CPnd_020-Ex1-2E-lcwgs-1-2.clmp.fp2_r1_screen	21918.0	2498.0	1996.0	555.0	1284.0	363.0	334.0	77.0	7.0	0.0	85152.0	1174566.0
Sor-CPnd_020-Ex1-2E-lcwgs-1-2.clmp.fp2_r2_screen	22070.0	2413.0	1959.0	562.0	1249.0	337.0	312.0	65.0	6.0	0.0	85468.0	1174309.0
Sor-CPnd_022-Ex1-7C-lcwgs-1-2.clmp.fp2_r1_screen	19139.0	2092.0	1616.0	631.0	1085.0	294.0	267.0	48.0	6.0	0.0	68611.0	1156727.0
Sor-CPnd_022-Ex1-7C-lcwgs-1-2.clmp.fp2_r2_screen	19368.0	2090.0	1611.0	642.0	1058.0	293.0	273.0	68.0	2.0	0.0	69510.0	1155601.0
Sor-CPnd_024-Ex1-5G-lcwgs-1-2.clmp.fp2_r1_screen	6239.0	643.0	517.0	252.0	332.0	102.0	93.0	19.0	0.0	0.0	23348.0	317790.0
Sor-CPnd_024-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	6362.0	627.0	524.0	230.0	342.0	83.0	77.0	16.0	2.0	0.0	23317.0	317755.0
Sor-CPnd_026-Ex1-3H-lcwgs-1-2.clmp.fp2_r1_screen	7928.0	841.0	667.0	208.0	433.0	123.0	131.0	29.0	2.0	0.0	28312.0	483231.0
Sor-CPnd_026-Ex1-3H-lcwgs-1-2.clmp.fp2_r2_screen	7908.0	864.0	671.0	198.0	422.0	121.0	128.0	16.0	2.0	0.0	28396.0	483179.0
Sor-CPnd_027-Ex1-3C-lcwgs-1-2.clmp.fp2_r1_screen	14273.0	1560.0	1293.0	384.0	846.0	242.0	234.0	47.0	2.0	0.0	53465.0	896141.0
Sor-CPnd_027-Ex1-3C-lcwgs-1-2.clmp.fp2_r2_screen	14341.0	1615.0	1294.0	360.0	841.0	237.0	196.0	40.0	1.0	0.0	53906.0	895656.0
Sor-CPnd_028-Ex1-3A-lcwgs-1-2.clmp.fp2_r1_screen	18922.0	2170.0	1716.0	478.0	1102.0	319.0	309.0	60.0	5.0	0.0	72432.0	1190629.0
Sor-CPnd_028-Ex1-3A-lcwgs-1-2.clmp.fp2_r2_screen	19077.0	2104.0	1645.0	467.0	1099.0	315.0	266.0	77.0	5.0	0.0	72200.0	1190887.0
Sor-CPnd_029-Ex1-8E-lcwgs-1-2.clmp.fp2_r1_screen	33071.0	3795.0	2960.0	893.0	2024.0	608.0	512.0	106.0	10.0	0.0	124797.0	1757886.0
Sor-CPnd_029-Ex1-8E-lcwgs-1-2.clmp.fp2_r2_screen	33620.0	3644.0	2869.0	918.0	1967.0	548.0	446.0	88.0	6.0	0.0	123899.0	1758657.0
Sor-CPnd_030-Ex1-2H-lcwgs-1-2.clmp.fp2_r1_screen	10967.0	1186.0	977.0	306.0	619.0	178.0	149.0	27.0	4.0	0.0	42822.0	575195.0
Sor-CPnd_030-Ex1-2H-lcwgs-1-2.clmp.fp2_r2_screen	11133.0	1133.0	1010.0	323.0	622.0	164.0	146.0	31.0	1.0	0.0	42799.0	575068.0
Sor-CPnd_031-Ex1-5D-lcwgs-1-2.clmp.fp2_r1_screen	13746.0	1551.0	1147.0	422.0	704.0	212.0	204.0	42.0	4.0	0.0	50922.0	806095.0
Sor-CPnd_031-Ex1-5D-lcwgs-1-2.clmp.fp2_r2_screen	13896.0	1474.0	1188.0	454.0	715.0	231.0	166.0	45.0	3.0	0.0	50957.0	805920.0
Sor-CPnd_033-Ex1-2F-lcwgs-1-2.clmp.fp2_r1_screen	9761.0	1121.0	908.0	282.0	583.0	196.0	157.0	35.0	0.0	0.0	37124.0	540722.0
Sor-CPnd_033-Ex1-2F-lcwgs-1-2.clmp.fp2_r2_screen	9891.0	1072.0	840.0	303.0	542.0	164.0	136.0	26.0	0.0	0.0	37134.0	540781.0
Sor-CPnd_034-Ex1-4G-lcwgs-1-2.clmp.fp2_r1_screen	5970.0	619.0	513.0	204.0	352.0	90.0	89.0	23.0	0.0	0.0	22262.0	312171.0
Sor-CPnd_034-Ex1-4G-lcwgs-1-2.clmp.fp2_r2_screen	6129.0	594.0	492.0	193.0	306.0	92.0	78.0	14.0	0.0	0.0	22259.0	312136.0
Sor-CPnd_036-Ex1-5C-lcwgs-1-2.clmp.fp2_r1_screen	14462.0	1566.0	1289.0	377.0	840.0	223.0	213.0	38.0	5.0	0.0	52755.0	781590.0
Sor-CPnd_036-Ex1-5C-lcwgs-1-2.clmp.fp2_r2_screen	14731.0	1482.0	1194.0	395.0	809.0	245.0	206.0	39.0	2.0	0.0	52750.0	781505.0
Sor-CPnd_037-Ex1-6C-lcwgs-1-2.clmp.fp2_r1_screen	17236.0	1821.0	1496.0	697.0	991.0	262.0	251.0	67.0	8.0	0.0	66168.0	1019302.0
Sor-CPnd_037-Ex1-6C-lcwgs-1-2.clmp.fp2_r2_screen	17466.0	1724.0	1466.0	716.0	981.0	261.0	229.0	47.0	1.0	0.0	66771.0	1018637.0
Sor-CPnd_038-Ex1-2A-lcwgs-1-2.clmp.fp2_r1_screen	11171.0	1235.0	949.0	369.0	729.0	221.0	167.0	37.0	2.0	0.0	43643.0	761123.0
Sor-CPnd_038-Ex1-2A-lcwgs-1-2.clmp.fp2_r2_screen	11603.0	1238.0	988.0	333.0	700.0	161.0	171.0	49.0	3.0	0.0	43769.0	760631.0
Sor-CPnd_041-Ex1-7A-lcwgs-1-2.clmp.fp2_r1_screen	16272.0	1662.0	1279.0	614.0	899.0	212.0	217.0	46.0	1.0	0.0	53393.0	1393808.0
Sor-CPnd_041-Ex1-7A-lcwgs-1-2.clmp.fp2_r2_screen	16382.0	1697.0	1276.0	613.0	959.0	224.0	205.0	49.0	1.0	0.0	54364.0	1392633.0
Sor-CPnd_043-Ex1-1D-lcwgs-1-2.clmp.fp2_r1_screen	27032.0	3104.0	2414.0	881.0	1627.0	462.0	411.0	87.0	9.0	0.0	101483.0	1650648.0
Sor-CPnd_043-Ex1-1D-lcwgs-1-2.clmp.fp2_r2_screen	27689.0	2953.0	2357.0	836.0	1627.0	433.0	403.0	96.0	6.0	0.0	102898.0	1648860.0
Sor-CPnd_044-Ex1-8G-lcwgs-1-2.clmp.fp2_r1_screen	18513.0	2014.0	1548.0	596.0	1011.0	305.0	264.0	48.0	4.0	0.0	67726.0	980565.0
Sor-CPnd_044-Ex1-8G-lcwgs-1-2.clmp.fp2_r2_screen	18432.0	1962.0	1590.0	610.0	977.0	311.0	283.0	65.0	6.0	0.0	68222.0	980136.0
Sor-CPnd_045-Ex1-7B-lcwgs-1-2.clmp.fp2_r1_screen	19430.0	2119.0	1595.0	587.0	1106.0	325.0	287.0	77.0	10.0	0.0	68668.0	1313914.0
Sor-CPnd_045-Ex1-7B-lcwgs-1-2.clmp.fp2_r2_screen	19814.0	2066.0	1593.0	556.0	1145.0	291.0	305.0	68.0	0.0	0.0	69774.0	1312506.0
Sor-CPnd_046-Ex1-5A-lcwgs-1-2.clmp.fp2_r1_screen	5342.0	543.0	429.0	222.0	313.0	78.0	70.0	20.0	2.0	0.0	20204.0	342148.0
Sor-CPnd_046-Ex1-5A-lcwgs-1-2.clmp.fp2_r2_screen	5332.0	587.0	436.0	230.0	287.0	44.0	81.0	18.0	0.0	0.0	20319.0	342037.0
Sor-CPnd_049-Ex1-3B-lcwgs-1-2.clmp.fp2_r1_screen	6449.0	703.0	561.0	174.0	343.0	107.0	93.0	23.0	0.0	0.0	23638.0	387394.0
Sor-CPnd_049-Ex1-3B-lcwgs-1-2.clmp.fp2_r2_screen	6598.0	743.0	534.0	175.0	385.0	99.0	90.0	28.0	0.0	0.0	23817.0	387016.0
Sor-CPnd_050-Ex1-3F-lcwgs-1-2.clmp.fp2_r1_screen	24903.0	2849.0	2192.0	709.0	1506.0	467.0	417.0	85.0	6.0	0.0	92823.0	1474507.0
Sor-CPnd_050-Ex1-3F-lcwgs-1-2.clmp.fp2_r2_screen	25434.0	2855.0	2193.0	678.0	1463.0	407.0	404.0	69.0	3.0	0.0	92451.0	1474507.0
Sor-CPnd_052-Ex1-6D-lcwgs-1-2.clmp.fp2_r1_screen	14031.0	1501.0	1155.0	484.0	799.0	244.0	194.0	40.0	4.0	0.0	49709.0	756031.0
Sor-CPnd_052-Ex1-6D-lcwgs-1-2.clmp.fp2_r2_screen	14092.0	1526.0	1152.0	479.0	757.0	229.0	183.0	37.0	0.0	0.0	50036.0	755701.0
Sor-CPnd_053-Ex1-2C-lcwgs-1-2.clmp.fp2_r1_screen	11955.0	1281.0	980.0	298.0	708.0	193.0	169.0	48.0	3.0	0.0	46269.0	697654.0
Sor-CPnd_053-Ex1-2C-lcwgs-1-2.clmp.fp2_r2_screen	12160.0	1263.0	1028.0	353.0	634.0	190.0	169.0	48.0	4.0	0.0	46131.0	697578.0
Sor-CPnd_054-Ex1-8F-lcwgs-1-2.clmp.fp2_r1_screen	6586.0	730.0	539.0	281.0	375.0	96.0	86.0	25.0	0.0	0.0	24543.0	378892.0
Sor-CPnd_054-Ex1-8F-lcwgs-1-2.clmp.fp2_r2_screen	6568.0	654.0	525.0	270.0	372.0	109.0	100.0	15.0	2.0	0.0	24440.0	379098.0
Sor-CPnd_055-Ex1-7G-lcwgs-1-2.clmp.fp2_r1_screen	19602.0	2148.0	1653.0	549.0	1053.0	304.0	258.0	55.0	7.0	0.0	71074.0	1005945.0
Sor-CPnd_055-Ex1-7G-lcwgs-1-2.clmp.fp2_r2_screen	19726.0	1963.0	1636.0	560.0	1082.0	332.0	277.0	62.0	3.0	0.0	71503.0	1005504.0
Sor-CPnd_058-Ex1-2G-lcwgs-1-2.clmp.fp2_r1_screen	10810.0	1267.0	931.0	266.0	639.0	182.0	183.0	51.0	4.0	0.0	42110.0	524843.0
Sor-CPnd_058-Ex1-2G-lcwgs-1-2.clmp.fp2_r2_screen	10877.0	1227.0	899.0	255.0	615.0	187.0	150.0	46.0	2.0	0.0	42360.0	524668.0
Sor-CPnd_063-Ex1-7D-lcwgs-1-2.clmp.fp2_r1_screen	17160.0	1854.0	1414.0	505.0	964.0	240.0	256.0	62.0	3.0	0.0	60740.0	975296.0
Sor-CPnd_063-Ex1-7D-lcwgs-1-2.clmp.fp2_r2_screen	17313.0	1731.0	1469.0	483.0	912.0	262.0	238.0	63.0	4.0	0.0	61358.0	974661.0
Sor-CPnd_066-Ex1-8B-lcwgs-1-2.clmp.fp2_r1_screen	10745.0	1165.0	934.0	313.0	607.0	176.0	147.0	43.0	0.0	0.0	39339.0	663263.0
Sor-CPnd_066-Ex1-8B-lcwgs-1-2.clmp.fp2_r2_screen	10771.0	1220.0	895.0	315.0	591.0	142.0	161.0	40.0	1.0	0.0	39476.0	663120.0
Sor-CPnd_069-Ex1-6B-lcwgs-1-2.clmp.fp2_r1_screen	11968.0	1357.0	1052.0	404.0	672.0	198.0	179.0	35.0	5.0	0.0	45304.0	795602.0
Sor-CPnd_069-Ex1-6B-lcwgs-1-2.clmp.fp2_r2_screen	12382.0	1255.0	1018.0	365.0	768.0	180.0	181.0	47.0	3.0	0.0	45575.0	795002.0
Sor-CPnd_072-Ex1-8C-lcwgs-1-2.clmp.fp2_r1_screen	29433.0	3049.0	2504.0	934.0	1715.0	477.0	451.0	106.0	3.0	0.0	108638.0	1796083.0
Sor-CPnd_072-Ex1-8C-lcwgs-1-2.clmp.fp2_r2_screen	29555.0	3047.0	2324.0	958.0	1655.0	469.0	421.0	101.0	2.0	0.0	108972.0	1795889.0
Undetermined.clmp.fp2_r1_screen	2820427.0	377071.0	275000.0	181587.0	178094.0	49560.0	47338.0	10037.0	789.0	2.0	10789836.0	182455539.0
Undetermined.clmp.fp2_r2_screen	2878794.0	374047.0	266858.0	178350.0	175282.0	47000.0	45511.0	10014.0	721.0	1.0	11029222.0	182179480.0
